Name,Department Profile,Specialties,Education,Location,About,Profile Link
Sejal Morjaria,Assistant Attending Physician ,Infections in patients with cancer ,,New York,I am an internist and infectious disease specialist with a special interest in the care of patients with infections related to cancer or its treatment. My passion is to partake in high-value quality improvement initiatives to improve the delivery of health care to patients.,https://www.mskcc.org/cancer-care/doctors/sejal-morjaria
Carol Morris,"Chief, Orthopaedic Surgery Service | Jack Byrne Chair for Adolescent and Young Adult Cancers at Memorial Sloan Kettering Cancer Center ","Soft Tissue Sarcoma | Bone Sarcoma (Osteosarcoma, Ewing sarcoma, chondrosarcoma) | Bone Cancer | Benign Bone Tumors | Benign Soft Tissue Tumors | Pediatric Bone and Soft Tissue Tumors | Neurofibromatosis | Limb Salvage Surgery | Metastatic Disease to Bone ","MS, Massachusetts Institute of Technology ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/carol-morris
Luc G. T. Morris,"Associate Director, Immunogenomics and Precision Oncology Platform | Director of Fellowship Training ",Surgery for Cancers of the Head and Neck | Thyroid and Parathyroid Surgery | Tumors of the Ear Canal and Temporal Bone | Minimally Invasive Transoral Surgery of the Larynx and Pharynx | Benign and Malignant Tracheal Disease | Tracheal Stenosis | Subglottic Stenosis ,"MD, New York University School of Medicine | MSc, Columbia University ",New York,"I am a surgeon who has worked at Memorial Sloan Kettering Cancer Center for more than a decade. My focus is taking care of patients who have been diagnosed with cancers of the head and neck — such as squamous cell, thyroid, salivary cancers, and melanoma — as well as benign tumors. I work closely with a team of experts who have devoted their careers to the cure of cancer and the rehabilitation of cancer patients.",https://www.mskcc.org/cancer-care/doctors/luc-morris
Michael J. Morris,"Prostate Cancer Section Head, GU Oncology ",Prostate Cancer | New Investigational Agents ,"MD, Mount Sinai School of Medicine ",New York,"I am a board-certified medical oncologist who specializes in treating men with prostate cancer, particularly those who have metastatic disease (disease that has spread to distant organs) or who are at high risk of developing metastatic disease. I am the Prostate Cancer Section Head, which means I lead a group of experts who are dedicated to researching and treating this disease.",https://www.mskcc.org/cancer-care/doctors/michael-morris
Monica Morrow,"Chief, Breast Service, Department of Surgery | Anne Burnett Windfohr Chair of Clinical Oncology ",Breast Disease ,"MD, Jefferson Medical College ",New York,"I am a surgical oncologist with a practice dedicated to the care of people with breast cancer. I treat all types of the disease and most stages, except for metastatic breast cancer that has spread beyond the breast and lymph nodes.",https://www.mskcc.org/cancer-care/doctors/monica-morrow
Natalie Moryl (Khojainova),Attending Physician ,Pain and Symptom Management | Palliative Care ,"MD, Moscow Medical Academy (Russia) ",New York,I am an internist who specializes in treating pain and other symptoms related to cancer. I also oversee Memorial Sloan Kettering Cancer Center’s Palliative Care Unit (PCU). Patients with symptoms that compromise their quality of life or who are in need of acute pain management are admitted to the PCU.,https://www.mskcc.org/cancer-care/doctors/natalie-moryl-khojainova
Alison J. Moskowitz,Hodgkin Lymphoma | Non-Hodgkin Lymphoma | Cutaneous T Cell Lymphoma ,"MD, Albert Einstein College of Medicine ",Internal Medicine - Columbia University Medical Center ,New York,"I am a hematologist-oncologist who cares for people with lymphoma, including non-Hodgkin lymphoma. I have a particular focus on Hodgkin lymphoma, systemic T cell lymphoma, and cutaneous T cell lymphoma (a rare type of skin lymphoma).",https://www.mskcc.org/cancer-care/doctors/alison-moskowitz
Nelson Moss,"Co-Director, Multidisciplinary Brain Metastasis Program ",Primary Brain Tumors | Metastatic Brain Tumors | Low-Grade Glioma | Acoustic Neuroma (Vestibular Schwannoma) | Meningioma and Skull Base/Craniofacial Surgery ,"MD, Harvard Medical School ",New York,"I am a neurosurgeon who specializes in safely and effectively treating people with primary brain tumors and metastatic brain tumors. I am passionate about providing expert, personalized care using the most innovative and minimally-invasive surgical and nonsurgical options, and have dedicated my career to the advancement of this field.",https://www.mskcc.org/cancer-care/doctors/nelson-moss
Robert J. Motzer,"Section Head, Kidney Cancer, Genitourinary Oncology Service | Jack and Dorothy Byrne Chair in Clinical Oncology ",Kidney Cancer (Renal Cell Cancer) | Immunotherapy ,"MD, University of Michigan Medical School ",New York,"I am a medical oncologist who is dedicated to improving the lives of people with genitourinary cancer. My primary area of expertise is kidney cancer (renal cell carcinoma). In particular, I care for people who have cancer that has spread to other parts of the body or who are at high risk for cancer spreading.",https://www.mskcc.org/cancer-care/doctors/robert-motzer
Amgad M. Moussa,"Director, Interventional Radiology Quality Assurance ",Percutaneous Biopsies | Locoregional Tumor Treatments (Ablation and Embolization) | Vascular Interventions | Lymphatic interventions | Musculoskeletal Interventions | Biliary and Genitourinary Interventions ,"MBBCh, Ain Shams University Faculty of Medicine, Cairo, Egypt ",Commack,"I am an interventional radiologist who specializes in performing minimally invasive, image-guided procedures to help patients throughout their cancer care journey. I perform percutaneous (through the skin) biopsies which help to establish a diagnosis. I also perform ablation and embolization procedures to provide locoregional tumor control; vascular access procedures which enable systemic delivery of medications; and other procedures that provide cancer patients with the care they need. I use a variety of imaging modalities (X-rays, CT, ultrasound, MRI, PET-CT) to make the procedures as safe and efficient as possible.",https://www.mskcc.org/cancer-care/doctors/amgad-moussa
Sujana Movva,Assistant Attending Physician ,Bone and Soft Tissue Sarcomas ,"MD, University of Western Ontario, Canada ",New York,"I am a medical oncologist who specializes in treating bone and soft tissue sarcomas. These are rare cancers and like our patients, no two are exactly alike. That’s why I work with surgeons, radiation oncologists, nurses, and social workers to provide a personalized plan for each person we care for.",https://www.mskcc.org/cancer-care/doctors/sujana-movva
Andrea Moy,Assistant Attending Pathologist ,Dermatopathology | Melanoma | Skin Cancer ,"MD, Albert Einstein College of Medicine ",New York,"As a board-certified dermatopathologist, I am dedicated to providing high-quality analyses of skin biopsies in order to provide the most accurate diagnosis for each patient. I completed my residency in anatomic and clinical pathology at Massachusetts General Hospital and served as a chief resident in anatomic pathology. I also completed the Harvard Medical School Dermatopathology Fellowship and a Hematopathology fellowship at Massachusetts General Hospital.  I enjoy working as a member of the multidisciplinary team at Memorial Sloan Kettering Cancer Center to care for patients with skin cancer.",https://www.mskcc.org/cancer-care/doctors/andrea-moy
Boris A. Mueller,"Director, Radiation Oncology, MSK Bergen ","Breast Cancer | Lung Cancer | Bladder Cancer | Prostate Cancer | Gynecologic Tumors, Sarcoma | CNS Tumors, Spine Tumors, Head & Neck Cancer ","MD, Johns Hopkins School of Medicine (1998)MPH, Johns Hopkins School of Public Health ",Montvale,I am a radiation oncologist who cares for patients at Memorial Sloan Kettering Bergen. Our team approach allows my colleagues and me to deliver state-of-the-art care close to home.,https://www.mskcc.org/cancer-care/doctors/boris-mueller
Jennifer Mueller,"Head, Endometrial Cancer Section, Gynecologic Oncology Service, Department of Surgery ","Endometrial Cancer | Ovarian Cancer | Cervical Cancer | Vulvar Cancer | Rare Ovarian Cancer | Fertility Preservation in Endometrial, Cervical, and Ovarian Cancers ","MD, University of Vermont ",New York,"I am a surgeon who specializes in caring for women with gynecologic cancers, including uterine cancer, ovarian cancer, cervical cancer, and cancer of the vulva. I work as part of a team of experts from different areas to provide the highest standard of care for my patients.",https://www.mskcc.org/cancer-care/doctors/jennifer-mueller
John P. Mulhall,"Director, Male Sexual and Reproductive Medicine Program ",Sexual and Reproductive Medicine | Erectile Dysfunction | Peyronie's Disease | Disorders of Ejaculation and Orgasm | Low Testosterone Levels | Male Infertility | Prostate Cancer ,"MD, University College Dublin Medical School ",New York,Please note that this doctor’s office has recently moved. All patient appointments are now taking place at the 64th Street Outpatient Center at 205 East 64th Street in Manhattan.,https://www.mskcc.org/cancer-care/doctors/john-mulhall
Rajmohan Murali,"Director, Last Wish Program | Medical Director, MSK-Hunter College Advanced Certificate in Cytotechnology Program ",Gynecologic Pathology | Cytopathology | Autopsy Pathology ,"MBBS, MD, The University of Sydney (Sydney, Australia) | FRCPA, Royal College of Pathologists of Australasia (Sydney, Australia) ",,"I am part of clinical teams at Memorial Sloan Kettering Cancer Center (MSK) that provide optimal diagnosis and treatment for people with gynecologic and other cancers. My research efforts are focused on the pathology, genetics, and molecular biology of a variety of cancers, with emphasis on gynecologic tumors. I also direct MSK’s Last Wish Program. The goal of this program is to empower MSK patients to donate their tissue for research that seeks to advance our understanding of cancer and improve outcomes for other patients with cancer.",https://www.mskcc.org/cancer-care/doctors/rajmohan-murali
Kazunori Murata,Associate Attending Chemist ,Clinical Chemistry ,"PhD, The Johns Hopkins University ",New York,"I am an attending clinical chemist in the Department of Laboratory Medicine, which is responsible for all clinically relevant measurements made on blood, urine, and bodily fluids in the management of patients here at Memorial Sloan Kettering Cancer Center. As a laboratory director, I am responsible for the management and oversight of the clinical chemistry laboratories. I am also available to consult with our clinicians in selecting appropriate tests and interpreting the results of these tests.",https://www.mskcc.org/cancer-care/doctors/kazunori-murata
Yonina R. Murciano-Goroff,Assistant Attending Physician ,Early-phase clinical trials ,"AB, Harvard College | MSc, University of Oxford | DPhil, University of Oxford | MD, Harvard Medical School ",New York,I am a medical oncologist with expertise in early-phase clinical trials.,https://www.mskcc.org/cancer-care/doctors/yonina-murciano-goroff
Melissa P. Murray,"Program Director, Oncologic Surgical Pathology Fellowship ",Breast and Gynecologic Pathology ,"DO, Philadelphia College of Osteopathic Medicine ",New York,"I am a clinical pathologist with special expertise in breast cancer, and I work closely with other members of the Breast Disease Management Team, providing them with evaluations and diagnoses of surgical samples.",https://www.mskcc.org/cancer-care/doctors/melissa-murray
Borys R. Mychalczak,"Chief, Radiation Oncology, MSK Westchester & MSK Bergen ",Prostate Cancer | Lung Cancer | Head and Neck Cancers | Breast Cancer | Gynecologic Tumors | Colorectal Cancers ,"MD, Wayne State University ",Montvale,"I am a radiation oncologist who cares for people with a variety of cancers at Memorial Sloan Kettering Westchester and Memorial Sloan Kettering Bergen. I am particularly focused on prostate cancer, breast cancer, and gynecologic cancers.",https://www.mskcc.org/cancer-care/doctors/borys-mychalczak
Patricia L. Myskowski,Attending Physician ,Cutaneous T Cell Lymphoma | Basal Cell Carcinoma | Squamous Cell Carcinoma | Melanoma | AIDS-associated Kaposi's Sarcoma ,"MD, Brown University ",New York,I am currently only seeing new patients who have cutaneous lymphoma or mycosis fungoides.,https://www.mskcc.org/cancer-care/doctors/patricia-myskowski
Danielle Nadav,Assistant Attending Anesthesiologist ,General and Regional Anesthesia | Interventional Pain Management | Medical Management of Pain ,"MD, Sackler School of Medicine ",Commack,"I am a board-certified anesthesiologist with special training in pain management. This includes cancer-related pain that might have spread to other parts of the body, as well as pain associated with arthritis, the back, migraines, and many other noncancerous issues. I frequently use image-guided injections, medication management strategies, and physical therapy to treat pain.",https://www.mskcc.org/cancer-care/doctors/danielle-nadav
Khedoudja Nafa,Associate Geneticist ,Diagnostic Molecular Genetics ,"PharmD, Institute of Medicine, University of Algiers | PhD, University of Algiers ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/khedoudja-nafa
Puja H. Nambiar,Assistant Attending Physician ,Infections in Immunocompromised Patients ,"MBBS, Rajiv Gandhi University of Health Sciences, Bangalore, India | MPH, Epidemiology, John Hopkins Bloomberg School of Public Health ",New York,"I am an infectious disease physician with expertise in treating opportunistic infections in immunocompromised patients. These infections may result from the cancer itself, or from the various cancer treatments. I work closely with my patients, monitoring them during their inpatient hospital stays and in then in the outpatient setting.",https://www.mskcc.org/cancer-care/doctors/puja-nambiar
Garrett M. Nash,"Vice Chair for Quality and Safety, Department of Surgery ",Gastrointestinal Cancers | Carcinoid/Neuroendocrine Tumors | Peritoneal Surface Malignancies | Pseudomyxoma Peritonei | Mesothelioma | Minimally Invasive and Robotic Surgery | Intraperitoneal Chemotherapy | Clinical Trials in Surgery ,"MD, Columbia University ",New York,"I am a surgeon with specialized training in cancers of the colon, rectum, anus, appendix, and peritoneum. The focuses of my practice include minimally invasive techniques for colorectal cancer (including laparoscopy, single-incision laparoscopy, and robotic surgery), avoiding colostomy while preserving bowel, bladder, and sexual function, and the management of peritoneal surface malignancies (including pseudomyxoma peritonei and mesothelioma).",https://www.mskcc.org/cancer-care/doctors/garrett-nash
Karthik Nath,Assistant Attending Physician ,Immunotherapy | Stem Cell Transplantation | Multiple Myeloma | Lymphoma | Leukemia and Other Blood Cancers ,"MBBS, University of Queensland ",New York,I am a hematologic-oncologist with a clinical and research interest in the use of cellular immunotherapy for the treatment of blood cancer. I am excited by the remarkable success of immunotherapy (a type of cancer treatment that uses a patient’s immune system to attack cancer cells in much the same way that it attacks bacteria or viruses) in people with different types of blood cancer.,https://www.mskcc.org/cancer-care/doctors/karthik-nath
Sandy Nath,Associate Attending Physician ,Urgent Care Medicine ,"MD, Sackler School of Medicine ",New York,"I have been with interested in the field of oncology since my childhood, when I watched my grandmother convalesce in our home after being diagnosed with late-stage ovarian cancer. My entry into medicine was somewhat nontraditional and followed a stint in physical therapy and finance. I joined Memorial Sloan Kettering Cancer Center (MSK) in 2017, where I have provided emergency care to patients with cancer ever since.",https://www.mskcc.org/cancer-care/doctors/sandy-nath
Babak Navi,Ischemic Stroke | Intracerebral Hemorrhage | Vascular Malformations | Cerebrovascular Disease ,"MD, New York University | MS, Cornell University ",Neurology - Weill Cornell Medical Center ,New York,"I am a neurologist with special training and a research interest in the prevention, diagnosis, and treatment of stroke in people with cancer. I am the Director of the Stroke Center and an Associate Professor of Neurology and Neuroscience at NewYork-Presbyterian Hospital/Weill Cornell Medical Center, and I am also privileged to be affiliated with Memorial Sloan Kettering’s Neurology Service as a clinical researcher and academic scientist.",https://www.mskcc.org/cancer-care/doctors/babak-navi
Kishwer S. Nehal,"Director, Mohs and Dermatologic Surgery ",Early-Stage Melanoma | Lentigo Maligna Melanoma | Basal Cell Carcinoma | Squamous Cell Carcinoma | Nonmelanoma Skin Cancer | Dermatologic Surgery | Mohs Micrographic Surgery | Cutaneous Reconstruction | Laser Surgery ,"MD, Boston University School of Medicine ",New York,"As Director of Mohs and Dermatologic Surgery, I lead a team of highly accomplished Mohs surgeons who are experts in treating skin cancers. We care for people with basal cell carcinoma, squamous cell carcinoma, early-stage melanoma, lentigo maligna melanoma, and other complex skin cancers.",https://www.mskcc.org/cancer-care/doctors/kishwer-nehal
Christian J. Nelson,"Chief, Psychiatry Service ",Psycho-oncology | Clinical Psychology ,"PhD, Long Island University ",New York,"I am a clinical psychologist with expertise in treating men with prostate cancer and other genitourinary malignancies. As the psychological liaison to Memorial Sloan Kettering’s genitourinary and sexual medicine services, I provide short- and long-term counseling services to patients struggling with cancer-related issues. Men who are undergoing treatment for these diseases sometimes experience treatment-related sexual dysfunction, and I help them and their partners optimize intimacy before, during, and after treatment. I also work with the Center’s 65+ Program, providing psychological support for our patients who are 65 and older, and I co-facilitate a support group for patients dealing with the combined issues of cancer and aging.",https://www.mskcc.org/cancer-care/doctors/christian-nelson
Jonas A. Nelson,"Assistant Director, Hernia and Abdominal Wall Reconstruction Program | Director, Plastic Surgery Service Clinical Research Fellowship Program ","Breast Reconstruction (Implant-Based and Autologous Tissue/DIEP Flap), Hernia Repair, Abdominal Wall Reconstruction, Head and Neck Reconstruction ","MD, University of Maryland School of Medicine | MPH, Johns Hopkins Bloomberg School of Public Health | BA, Johns Hopkins University ",New York,"I am a plastic surgeon specializing in complex reconstruction after surgery for breast cancer, head and neck cancers, and abdominal wall hernia. I have special expertise in microsurgical breast reconstruction and complex abdominal wall reconstruction.",https://www.mskcc.org/cancer-care/doctors/jonas-nelson
Judith Nelson,Attending Physician ,Palliative Care | Intensive Care ,"MD, New York University School of Medicine | JD, Harvard Law School ",New York,"Dr. Nelson received her JD from Harvard Law School, and MD from New York University School of Medicine.  She completed residency and fellowship at Mount Sinai in New York, and is board certified in Internal Medicine, Palliative Medicine, Pulmonary Disease, Critical Care Medicine. At Mount Sinai, she was Professor of Medicine, Associate Director of the Medical Intensive Care Unit, Director of the Respiratory Care Unit, and a faculty member of the Hertzberg Palliative Care Institute.",https://www.mskcc.org/cancer-care/doctors/judith-nelson
William Christopher Newman,Assistant Attending Neurosurgeon ,Primary and Metastatc Spine Tumors | Reconstruction and Stabilization Of The Spine | Minimally Invasive Spine Surgery | Degenerative Spinal Disorders | Intradural Spine Tumors | Spinal Cord Tumors | Surgical Pain Modulation ,"BS (Biomedical Engineering), Harvard University | MD, University of Florida College of Medicine ",New York,"I am a neurosurgeon specializing in the care of people with primary spinal tumors, cancers that metastasize (spread) to the spine, and tumors involving the spinal cord and its nerves. I also have experience in using spinal cord stimulation to treat pain syndromes in patients with cancer and delivering medication intrathecally (directly to the spine), among other techniques. This expertise allows me to remove tumors precisely, manage pain syndromes, and minimize the effects of surgery on my patients’ quality of life. I am passionate about providing expert, compassionate, and personalized care that uses my advanced training in minimally invasive techniques (surgery done with small incisions or cuts), image guidance, and robotics.",https://www.mskcc.org/cancer-care/doctors/william-newman
Dianna L. Ng,Assistant Attending Pathologist ,Cytopathology | Fine Needle Aspiration Biopsy ,"MD, New York University School of Medicine ",New York,"I am a pathologist who specializes in cytopathology and fine needle aspiration biopsies. I work closely with colleagues from surgical oncology, medical oncology, and radiology to establish rapid and accurate diagnoses through minimally invasive biopsies.",https://www.mskcc.org/cancer-care/doctors/dianna-ng
Kenneth K. Ng,Attending Physician ,Lung Cancer | Mesothelioma | Head and Neck Cancers ,"MD, SUNY University at Buffalo ",Uniondale,I am a board-certified medical oncologist who treats patients with a variety of solid cancers. I have special expertise and interest in lung and head and neck cancers.,https://www.mskcc.org/cancer-care/doctors/kenneth-ng
Makoto Nishimura,Attending Physician ,Endoscopic submucosal dissection (ESD) | Esophagogastroduodenoscopy (EGD) | Single Balloon Enteroscopy | Colonoscopy | EUS-Guided Fine Needle Aspiration | EUS-Guided Celiac Plexus Neurolysis ,"MD, Jichi Medical University, Tochigi, Japan ",New York,I am a board-certified gastroenterologist who specializes in using minimally invasive endoscopic techniques to diagnosis and treat gastrointestinal cancers. I have particular expertise in performing endoscopic submucosal dissections (ESD) to safely remove gastrointestinal tumors. ESD allows patients to avoid extensive surgeries and the long recovery times they often require.,https://www.mskcc.org/cancer-care/doctors/makoto-nishimura
Craig P. Nolan,Attending Physician ,Neuro-Oncology | Brain Tumors | Neurologic Complications of Cancer | Leptomeningeal Disease ,"MD, University of Chicago ",New York,"I am a neuro-oncologist who specializes in the treatment of patients with brain tumors and the neurologic complications of cancer. My academic interest is in the development of and participation in clinical trials of new investigational drugs that may benefit brain tumor patients. My first priority is to provide the highest level of care to patients both in Manhattan and at our regional care facility in Commack, Long Island.",https://www.mskcc.org/cancer-care/doctors/craig-nolan
Larry Norton,"Senior Vice President, Office of the President | Medical Director, Evelyn H. Lauder Breast Center | Norna S. Sarofim Chair in Clinical Oncology ",Breast Cancer ,"MD, Columbia University ",New York,"I am a board-certified medical oncologist with broad interests in cancer prevention, diagnosis, and treatment. In my clinical practice I care for women with breast cancer, and I am Medical Director of the Evelyn H. Lauder Breast Center.",https://www.mskcc.org/cancer-care/doctors/larry-norton
Anton Nosov,Instructor ,Positron Emission Tomography (PET)/Computed Tomography (CT) and PET/Magnetic Resonance (MR) | Nuclear Medicine | CT | Magnetic Resonance Imaging (MRI) | Head & Neck Imaging | Neuroradiology ,"MD, Luhansk State Medical University (Ukraine) ",New York,"As a radiologist and nuclear medicine physician, I specialize in diagnosing various types of malignancies, with a focus on brain, head and neck, and pediatric neoplasms. Additionally, I am keenly interested in the potential of treating cancer by using radioactive particles (radionuclides), which allows for simultaneous diagnostic and therapeutic procedures.",https://www.mskcc.org/cancer-care/doctors/anton-nosov
Rosa Nouvini,"Hematology/Oncology Site Director, Jamaica Hospital ",Benign Hematology | Malignant Hematology | Solid Tumors ,"MD, St. George’s University ",New York,"I am very excited to be working in Harlem at the Ralph Lauren Center for Cancer Care. I care for people with noncancerous blood disorders, such as anemia, as well as people with blood cancers and solid tumors, such as breast, colon, and lung cancers. I have several years of clinical experience, including my fellowship training.",https://www.mskcc.org/cancer-care/doctors/rosa-nouvini
Ariela Noy,Attending Physician ,"Hodgkin and Non-Hodgkin Lymphoma | Chronic Lymphocytic Leukemia | Castleman's Disease, AIDS-related cancers ","MD, University of Pennsylvania ",Commack,I am a board-certified medical oncologist and hematologist who cares for people with Hodgkin and non-Hodgkin lymphoma as well as other cancers of the lymphoid immune system. I have been practicing at MSK since 1997. I am part of a tight-knit team of experts who provide the best care for our patients.,https://www.mskcc.org/cancer-care/doctors/ariela-noy
Evangelos Ntrivalas,Assistant Attending Immunologist ,Diagnostic Immunology | Flow Cytometry ,"MD, Aristotle University of Thessaloniki | PhD, Rosalind Franklin University of Medicine and Science ",New York,"I am an immunologist with a specialty in medical laboratory immunology. I have 15 years of experience in developing and validating immunoassays (tests) to diagnose immune diseases in patients. This includes autoimmunity, immunodeficiency, and tumor immunologic diseases.",https://www.mskcc.org/cancer-care/doctors/evangelos-ntrivalas
Maliha Nusrat,Assistant Attending Physician ,Colorectal Cancer | Other Gastrointestinal Cancers ,"MD, The Aga Khan University Medical College | MS, MD Anderson UTHealth Graduate School of Biomedical Sciences ",New York,"I am a medical oncologist and translational researcher, specializing in colorectal cancer and other gastrointestinal cancers. I care for patients in collaboration with a multidisciplinary team of specialists including surgeons and radiation oncologists.",https://www.mskcc.org/cancer-care/doctors/maliha-nusrat
Roisin E. O'Cearbhaill,"Research Director, Gynecologic Medical Oncology Service | Clinical Director, Solid Tumor, Cellular Therapy Service | Associate Attending Physician ","Medical Treatment of Ovarian, Endometrial, and Cervical Cancers ","MD, National University of Ireland, Galway (Ireland) ",New York,"I am a medical oncologist with a primary focus on the medical treatment of patients with gynecologic cancers. I work very closely with a team of surgeons, oncologists, and radiation therapists to determine and provide the best treatment for each patient with these diseases.",https://www.mskcc.org/cancer-care/doctors/roisin-o-cearbhaill
Bernard O'Malley,"Director of Imaging Services, MSK Monmouth ",Diagnostic Radiology | Neuroradiology | Nuclear Medicine ,"MD, SUNY Health Science Center at Syracuse ",Middletown,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/bernard-o-malley
Eileen M. O'Reilly,"Winthrop Rockefeller Endowed Chair of Medical Oncology | Co-Director, Medical Initiatives, David M. Rubenstein Center for Pancreatic Cancer Research | Section Head, Hepatopancreaticobilary & Neuroendocrine Cancers ",Pancreatic Cancer | Gallbladder Cancer | Bile Duct Cancer | Primary Liver Cancer | Gastrointestinal Neuroendocrine Cancers ,"MD, Trinity College, Ireland ",New York,"I am a medical oncologist whose research and clinical activities focus on treating pancreatic and hepatobiliary cancers. I work very closely with a team of surgeons, oncologists, and radiation therapists to determine and provide the best treatment for people with these diseases.",https://www.mskcc.org/cancer-care/doctors/eileen-o-reilly
Richard J. O'Reilly,Claire L. Tow Chair in Pediatric Oncology Research ,Pediatric Oncology | Allogeneic and Autologous Bone Marrow and Peripheral Blood Stem Cell Transplantation | Congenital and Acquired Diseases of Hematopoiesis and Immunity ,"MD, University of Rochester School of Medicine ",New York,"As former Chair of the Department of Pediatrics, I oversaw all aspects of the clinical, medical education, and research endeavors the department is privileged to provide. My clinical expertise is in bone marrow transplantation and the treatment of children with congenital and acquired immunological deficiencies. I have particular expertise in treating genetic diseases that impair hematopoiesis — the formation of blood cells — as well as pediatric leukemias. I am also an authority on transplantation immunology and cellular therapies.",https://www.mskcc.org/cancer-care/doctors/richard-o-reilly
Michael D. Offin,Assistant Attending Physician ,Lung Cancer | Mesothelioma | Targeted Therapy for Lung Cancer | Clinical Trials ,"MD, Rutgers University- New Jersey Medical School ",New York,"I am a board-certified medical oncologist dedicated to caring for people with lung cancer, including non-small cell lung cancer,  small cell lung cancer and mesothelioma.",https://www.mskcc.org/cancer-care/doctors/michael-offin
Kenneth Offit,"Chief, Clinical Genetics Service | Robert and Kate Niehaus Chair in Inherited Cancer Genomics | Vice Chair, Academic Affairs, Department of Medicine ",Genetic Predisposition to Cancer | Lymphomas and Hodgkin's Disease | Cancer Risk Counseling ,"MD, Harvard Medical School ",Middletown,I am a medical oncologist with clinical and laboratory experience in cancer genetics. My research focuses on defining genetic factors that cause an increased susceptibility to cancer.,https://www.mskcc.org/cancer-care/doctors/kenneth-offit
Leslie Ojea,Associate Attending Anesthesiologist ,Adult and Pediatric Anesthesia ,"MD, Universidad del Salvador Medical School (Buenos Aires, Argentina) ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/leslie-ojea
Chika Ijeoma Okoli,Assistant Attending Physician ,Hospital Medicine ,"MD, Morehouse School of Medicine ",New York,"Doctors at Memorial Sloan Kettering work as teams, with specialists from all different areas. This allows us to consider all your needs together, and to give you the best possible care.",https://www.mskcc.org/cancer-care/doctors/chika-okoli
Michael V. Ortiz,Assistant Attending Pediatrician ,"Clinical Expertise: Rare Pediatric Tumors; Kidney Cancers, Liver Cancers, Sarcomas; Relapsed and Refractory Solid Tumors in Children and Young Adults; Developmental Therapeutics | Languages Spoken: English | Education: MD, University of Florida | Residencies: Pediatrics - Children’s National Medical Center | Fellowships: Pediatric Hematology/Oncology – Memorial Sloan Kettering Cancer Center ","Rare Pediatric Tumors | Kidney Cancers, Liver Cancers, Sarcomas | Relapsed and Refractory Solid Tumors in Children and Young Adults | Developmental Therapeutics ",New York,"I am a pediatric oncologist on the MSK Kids team who cares for children and young adults with solid tumors. I have particular expertise in treating pediatric kidney cancers such as Wilms’ tumor and rhabdoid tumor, pediatric liver cancers such as hepatoblastoma and fibrolamellar carcinoma, and pediatric sarcomas. Through a combination of quality care, education, and research, I strive to improve the outcomes and experiences of children with cancer.",https://www.mskcc.org/cancer-care/doctors/michael-ortiz
Juan C. Osorio,Assistant Attending Physician ,Gynecological Cancers | Cancer Immunotherapy ,"MD, Universidad Nacional de Colombia ",New York,"I am a medical oncologist and physician-scientist who focuses on the treatment of gynecologic cancers, including cervical, ovarian, and uterine (endometrial) cancer.",https://www.mskcc.org/cancer-care/doctors/juan-osorio
Jamie S. Ostroff,Joseph Gaumont Chair of Cancer Prevention ,Smoking Cessation | Psychological Issues of Cancer Survivors | Marital and Family Issues in Cancer Care | Behavioral Medicine ,"PhD, Vanderbilt University ",New York,"I am a clinical health psychologist with expertise in helping patients and their families cope with the challenges of cancer diagnosis, treatment, and survivorship. I have a strong interest in working with patients who have been diagnosed with tobacco-related cancers, and I serve as psychological liaison to the Thoracic Service and to the Head and Neck Disease Management Team.",https://www.mskcc.org/cancer-care/doctors/jamie-ostroff
Joseph Hai Oved,Assistant Attending Pediatrician ,"Immune Deficiencies and Dysregulations, Bone Marrow Failure Syndromes and Non-Malignant Blood Disorders, Gene Therapy ","MD, NYU School of Medicine ",New York,"I am a pediatric hematologic oncologist on the MSK Kids team who specializes in the use of stem cell/bone marrow transplantation and cellular therapies to cure noncancerous diseases. I focus on transplantation to cure patients with hard-to-treat immune dysfunctions or inherited immune deficiencies, as well as those with bone marrow failure syndromes.",https://www.mskcc.org/cancer-care/doctors/joseph-oved
Colette N. Owens,Assistant Attending Physician ,Hematologic Malignancies | Genitourinary Malignancies ,"MD, Robert Wood Johnson Medical School ",Basking Ridge,"I am a medical oncologist and hematologist who works as a part of a team of experts for people with blood cancers, with a focus on lymphomas and genitourinary cancers.",https://www.mskcc.org/cancer-care/doctors/colette-owens
